19723,38916,45984,25367,21591
13331,16100,17338,25313,14295
37438,10456,5195,20947,20937
79516,24686,38078,54960,55628
19135,20632,30829,13696,19020
4370,48881,1066,18026,11791
54489,20925,74271,20947,36231
18719,22136,17582,14228,17789
18560,66783,36548,56016,75319
21677,33237,18559,41162,17676
19723,21591,25367,38916,45984
20925,20947,20921,19871,12755
26243,32230,23763,19315,20519
77860,58530,59567,28245,58099
21134,25313,31569,41581,30523
39298,32024,24010,63218,37554
17136,37725,20523,30364,12770
57254,69911,38301,40070,33109
15379,18002,32713,22442,2915
62982,33078,42273,2079,19706
25342,25655,25195,28115,83259
57546,58392,34172,67442,57446
28207,22151,20389,18820,3272
30074,19020,13696,18926,20632
5120,22377,13588,60170,3034
20837,20513,32821,17676,34310
30493,32115,73760,66972,17901
19739,48001,70863,17336,36035
20062,1965,34159,33220,35522
20947,62063,53323,2756,21028
36421,36447,72225,67343,32679
37126,19366,20358,11017,11554
54271,2482,34623,20837,20513
38697,32686,21977,47752,33458
32678,33549,32987,17746,68319
58667,24227,19182,34510,33987
34159,20443,21594,18689,20598
19182,51917,24227,33987,58667
34159,78275,20283,20937,60879
34159,20443,19166,21594,33938
68780,19594,34159,20443,345
72241,571,18689,34159,33563
571,18689,34159,20443,21594
105,21088,23988,24304,22367
76811,28986,22371,36469,62857
34159,20283,20443,18689,78275
24343,18228,18251,21088,68229
34159,33938,46261,20283,20443
23419,105,23986,21261,41588
34159,20937,78275,20283,20443
33271,76811,28986,60432,41746
34159,20937,20443,78526,18689
35300,18820,26037,20533,35043
34159,78275,19897,34544,20283
156,1046,76811,1229,28986
54614,62802,72245,74926,50955
34159,20443,18689,78275,66154
34159,64830,78275,20283,20937
33943,48923,41140,21720,8721
33943,34253,36122,48923,41140
76811,1229,28986,156,33897
70951,78453,32080,74218,87717
18689,20443,72832,34159,1220
34159,20443,18689,68764,76841
51917,30932,19182,24227,33987
69148,1229,748,2807,30684
8190,31535,20837,37064,51351
62125,65274,31441,63208,31112
24705,20191,25715,22367,22184
22367,18228,20191,7646,16415
571,18689,85690,30604,51511
62125,65274,64963,31441,63526
33229,33088,33572,33612,33218
19182,24227,34510,51917,58667
53686,101277,16190,41178,48316
9086,16844,19582,26319,29306
16831,33962,26654,27299,82228
17949,79470,16563,80012,20372
33315,21637,19051,41101,31600
41187,48860,17117,21449,45984
39147,36727,54715,34182,19173
21001,21418,27347,38170,84560
20540,19342,17356,18404,30566
2232,19749,19749,45331,55848
17365,39922,36584,55857,18487
45866,34997,9285,42924,40612
22934,8960,37046,36257,39640
26778,20351,49092,50398,51136
223,2482,20837,35265,35899
49941,44782,12278,32505,36213
18059,20201,15876,31693,16965
49768,49769,55857,56080,62745
41305,24793,21628,32106,24812
19370,21637,34394,19293,20348
32353,33027,26132,20199,48549
30339,19521,17643,77128,31174
20747,39013,50998,35503,74319
19173,31463,13990,22309,31401
11368,11862,45817,17782,37468
53516,19182,24227,58667,51917
57254,38301,73760,66972,69911
57254,38301,69911,40070,22729
42008,48316,16190,30012,42556
33492,32250,28990,20513,2871
20837,11673,16356,11631,11290
17144,82127,26319,20414,19582
31463,19173,20102,27440,37068
23986,22442,12188,74334,20881
44963,21204,29833,19453,18150
20864,1611,28804,51351,20837
19182,24227,53516,33987,58667
19173,38301,19851,20837,22454
51917,53516,57350,19182,70125
19173,31463,66972,73760,31401
36181,70200,71229,37126,69525
30229,82244,29701,19573,65367
26660,65392,40657,68720,23308
30229,29200,82244,21925,29701
26660,65392,68720,67889,51728
19182,24227,53516,34510,51917
19173,21594,31463,13588,31401
19699,28115,19670,86797,29827
19162,46048,86173,19736,51922
17502,19670,51922,28691,17953
17502,19670,51922,86751,16980
17502,81934,51922,17171,19670
86797,28986,77084,70781,29750
